Surname,Region
აბდულიში,აჭარა
აბუსელიძე,აჭარა
ადამიძე,აჭარა
აზარიძე,აჭარა
აზნაურიშვილი,აჭარა
აზნაურიძე,აჭარა
ათაბაგი,აჭარა
ათაბაძე,აჭარა
ალიქაძე,აჭარა
ალიშანიძე,აჭარა
ანანბა,აჭარა
ანანიძე,აჭარა
ანდღულაძე,აჭარა
ანუშიძე,აჭარა
აჟიბა,აჭარა
ართილაყვა,აჭარა
ართმელაძე,აჭარა
არძენაძე,აჭარა
არჯევანიძე,აჭარა
ასამბაძე,აჭარა
ასეიშვილი,აჭარა
ასკურავა,აჭარა
ასლანიძე,აჭარა
აშამბა,აჭარა
აშლარბა,აჭარა
ბაბილოძე,აჭარა
ბაბუჩაიშვილი,აჭარა
ბათაძე,აჭარა
ბაზიაშვილი,აჭარა
ბათმანიშვილი,აჭარა
ბათნიძე,აჭარა
ბაკურიძე,აჭარა
ბალაძე,აჭარა
ბაჟუნაიშვილი,აჭარა
ბარაქაძე,აჭარა
ბასილაძე,აჭარა
ბასილია,აჭარა
ბაუჟაძე,აჭარა
ბაღდადიშვილი,აჭარა
ბაჯელიძე,აჭარა
ბედელაძე,აჭარა
ბედინაძე,აჭარა
ბეჟანიძე,აჭარა
ბერიძე,აჭარა
ბერსელაძე,აჭარა
ბერსენაძე,აჭარა
ბექირიშვილი,აჭარა
ბეშიტაიშვილი,აჭარა
ბზეკალავა,აჭარა
ბიჭკაიძე,აჭარა
ბლაგიძე,აჭარა
ბლადაძე,აჭარა
ბობოხაძე,აჭარა
ბოლქვაძე,აჭარა
ბროკიშვილი,აჭარა
ბროლაძე,აჭარა
ბრუნჯაძე,აჭარა
ბულბულიანი,აჭარა
ბულეიშვილი,აჭარა
ბურკვაძე,აჭარა
ბუქიძე,აჭარა
გაბაიძე,აჭარა
გაბიტაძე,აჭარა
გაბიძე,აჭარა
გაგანიძე,აჭარა
გადახაბაძე,აჭარა
გათენაძე,აჭარა
გალოგრე,აჭარა
გამრეკელიძე,აჭარა
განდელიძე,აჭარა
განუგრავა,აჭარა
გედევანიძე,აჭარა
გელაზარიშვილი,აჭარა
გენჯაძე,აჭარა
გერგეშანია,აჭარა
გვარიშვილი,აჭარა
გვარჯალაძე,აჭარა
გვიანიძე,აჭარა
გვიბირიძე,აჭარა
გიაურაძე,აჭარა
გიგატაძე,აჭარა
გივრაძე,აჭარა
გიორგხელიძე,აჭარა
გობაძე,აჭარა
გოგეიშვილი,აჭარა
გოგელია,აჭარა
გოგეშვილი,აჭარა
გოგიტიძე,აჭარა
გოგიჩაიშვილი,აჭარა
გოგლიჩაძე,აჭარა
გოგმაჩაძე,აჭარა
გოგოლიშვილი,აჭარა
გოგრაჭაძე,აჭარა
გოთუა,აჭარა
გოლიაძე,აჭარა
გოლიჯაშვილი,აჭარა
გოლომანიძე,აჭარა
გონიადი,აჭარა
გორაძე,აჭარა
გორგაძე,აჭარა
გორგილაძე,აჭარა
გორგოშაძე,აჭარა
გორგოშიძე,აჭარა
გორჯელაძე,აჭარა
გოჩაძე,აჭარა
