Surname,Region
აბაშიძე,გურია
აბაშმაძე,გურია
აბრამიშვილი,გურია
აბუსერიძე,გურია
ადაძე,გურია
ანდღულაძე,გურია
ანთაძე,გურია
ანთელიძე,გურია
ანთიძე,გურია
ართილაყვა,გურია
ართმელაძე,გურია
ართმელიძე,გურია
არობელიძე,გურია
არონიშიძე,გურია
აროშიძე,გურია
ასკურავა,გურია
ასლანიძე,გურია
აფშილავა,გურია
აფხაზავა,გურია
აფხაძე,გურია
აცანელიძე,გურია
ბერეჟიანი,გურია
ბაბილოძე,გურია
ბაბულეიშვილი,გურია
ბარამიძე,გურია
ბასილია,გურია
ბაქანიძე,გურია
ბაღიაური,გურია
ბაღიშვილი,გურია
ბახუნტარაძე,გურია
ბაჯელიძე,გურია
ბებურიშვილი,გურია
ბედენეიშვილი,გურია
ბედინეიშვილი,გურია
ბელეშაძე,გურია
ბერიშვილი,გურია
ბერსელაძე,გურია
ბერსენაძე,გურია
ბეშიტაიშვილი,გურია
ბეშიტაშვილი,გურია
ბზეკალავა,გურია
ბიბინეიშვილი,გურია
ბილვანიძე,გურია
ბილიხოძე,გურია
ბისეიშვილი,გურია
ბლაგიძე,გურია
ბორჩხაძე,გურია
ბულაძე,გურია
ბურძგლა,გურია
ბურჭულაძე,გურია
ბუსხრიკიძე,გურია
გაბესკელიანი,გურია
გადაბაძე,გურია
გადახაბაძე,გურია
გალოგრე,გურია
განდელიანი,გურია
გარაყანიძე,გურია
გეგიაძე,გურია
გედევანიძე,გურია
გვარჯალაძე,გურია
გვიბირაძე,გურია
გიგიბერიძე,გურია
გიგინეიშვილი,გურია
გირკელიძე,გურია
გობრონიძე,გურია
გოგაბერაშვილი,გურია
გოგატაძე,გურია
გოგეიშვილი,გურია
გოგელია,გურია
გოგეშვილი,გურია
გოგიტაური,გურია
გოგიჩაიშვილი,გურია
გოგმაჩაძე,გურია
გოგორიკიძე,გურია
გოგოტიშვილი,გურია
გოგოძე,გურია
გოგრეჭიანი,გურია
გოგუაძე,გურია
გოდორაძე,გურია
გოთუა,გურია
გოი,გურია
გოლიაძე,გურია
გორგოშაძე,გურია
გორდელაძე,გურია
გოჩიტიძე,გურია
გუბელიძე,გურია
გუდავაძე,გურია
გულბიანი,გურია
გულიტაშვილი,გურია
გუმბარიძე,გურია
გუნთაიშვილი,გურია
გუნთაძე,გურია
გუნთიაშვილი,გურია
გურგენაძე,გურია
გურიელი,გურია
გურიელიძე,გურია
გუჯაბიძე,გურია
დარჩია,გურია
დედანიშვილი,გურია
დეკანაძე,გურია
დიდმანიძე,გურია
დუმბაძე,გურია
დობორჯგინიძე,გურია
დოლიძე,გურია
დონაძე,გურია
დონდოლაძე,გურია
დუდუჩავა,გურია
ებრალიძე,გურია
ეზეიშვილი,გურია
ეზიეშვილი,გურია
ელიეშვილი,გურია
ელიშვილი,გურია
ერქომაიშვილი,გურია
ერქომაშვილი,გურია
ესაძე,გურია
ეფრიკიანი,გურია
ვადაჭკორია,გურია
ვათაძე,გურია
ვანაძე,გურია
ვანიძე,გურია
ვასაძე,გურია
ვაშალომიძე,გურია
ვაშნაძე,გურია
ვაჩეიშვილი,გურია
ვახტანგური,გურია
ვერსალიძე,გურია
ვერულიძე,გურია
ზარბაზოია,გურია
ზაქარეიშვილი,გურია
ზაქარიაძე,გურია
ზენაიშვილი,გურია
ზურგალიძე,გურია
ზღულაძე,გურია
თავამაიშვილი,გურია
თავართქილაძე,გურია
თავბერიძე,გურია
თავდიდიშვილი,გურია
თავდიშვილი,გურია
თავდუმაძე,გურია
თალაკვაძე,გურია
თენეიშვილი,გურია
თიკანაძე,გურია
თოდრაძე,გურია
თოდრია,გურია
თოთიბაძე,გურია
თოიძე,გურია
თოხაძე,გურია
თურნავა,გურია
თხილაიშვილი,გურია
იაჟიანი,გურია
იმედაიშვილი,გურია
იმნაიშვილი,გურია
იმნაძე,გურია
ინარიძე,გურია
ინგოროყვა,გურია
ინწკირველი,გურია
ინჯიბაშვილი,გურია
იობიშვილი,გურია
იორაშვილი,გურია
იორდანიძე,გურია
ირემაძე,გურია
კობალავა,გურია
კაკურია,გურია
კაკურიძე,გურია
კალანდარიშვილი,გურია
კალანდაძე,გურია
კალაჯიშვილი,გურია
კარალიძე,გურია
კარკუსაშვილი,გურია
კახაძე,გურია
კარსანიძე,გურია
კაშანიანი,გურია
კბილიანაშვილი,გურია
კეკელიძე,გურია
კეშელავა,გურია
კეჭაღმაძე,გურია
კეჭაყმაძე,გურია
კეჭახმაძე,გურია
კეჭეყმაძე,გურია
კეჭეხმაძე,გურია
კვარანცხელია,გურია
კვასხვაძე,გურია
კვაშალი,გურია
კვაჭანტირაძე,გურია
კვაჭაძე,გურია
კვეიძე,გურია
კვერენჩხილაძე,გურია
კვერღელიძე,გურია
კვესიეშვილი,გურია
კვიახიძე,გურია
კვინტრაძე,გურია
კვირჩილაძე,გურია
კვიტაიშვილი,გურია
კვიჭიძე,გურია
კილაძე,გურია
კინოიანი,გურია
კიღურაძე,გურია
კიწმარიშვილი,გურია
კობიძე,გურია
კოიძე,გურია
კონტრიძე,გურია
კოპლატაძე,გურია
კოპლაძე,გურია
კორიფაძე,გურია
კოროშინაძე,გურია
კორღალიძე,გურია
კოსტავა,გურია
კოტრიკაძე,გურია
კრავეიშვილი,გურია
კუბუსიძე,გურია
კუკულავა,გურია
კუკულაძე,გურია
კულალაღაშვილი,გურია
