Surname,Region
აბაზაძე,იმერეთი
აბაშიძე,იმერეთი
აბდალაძე,იმერეთი
აბდუშელაშვილი,იმერეთი
აბდუშელიშვილი,იმერეთი
აბდულეიშვილი,იმერეთი
აბესაძე,იმერეთი
აბზიანიძე,იმერეთი
აბჟანდაძე,იმერეთი
აბრამია,იმერეთი
აბრამიშვილი,იმერეთი
აბრამიძე,იმერეთი
აბსანდაძე,იმერეთი
აბუთიძე,იმერეთი
აბულაძე,იმერეთი
აბუსერიძე,იმერეთი
აბხაძე,იმერეთი
აგიაშვილი,იმერეთი
ადამაძე,იმერეთი
ადამია,იმერეთი
ადეიშვილი,იმერეთი
ავალიანი,იმერეთი
ავალიშვილი,იმერეთი
აზნარაშვილი,იმერეთი
ათაბაგი,იმერეთი
ათაბაკი,იმერეთი
ალავიძე,იმერეთი
ალალია,იმერეთი
ალალიძე,იმერეთი
ალასანიძე,იმერეთი
ალაშვილი,იმერეთი
ალერწიანი,იმერეთი
ალიხანაშვილი,იმერეთი
ალიხანიძე,იმერეთი
ალფაიძე,იმერეთი
ალხაზიშვილი,იმერეთი
ამაღლებელი,იმერეთი
ამაღლობელი,იმერეთი
ამაშუკელი,იმერეთი
ამბროლაძე,იმერეთი
ამილახვარი,იმერეთი
ამილახოვი,იმერეთი
ამირანაშვილი,იმერეთი
ამირეჯები,იმერეთი
ამირეჯიბი,იმერეთი
ამყოლაძე,იმერეთი
ანაკიძე,იმერეთი
ანდრიაძე,იმერეთი
ანდღულაძე,იმერეთი
ანთაძე,იმერეთი
არაბიძე,იმერეთი
არდიშვილი,იმერეთი
არევაძე,იმერეთი
არეშიძე,იმერეთი
არველაძე,იმერეთი
არიშვილი,იმერეთი
არიშიშვილოვი,იმერეთი
არიშიძე,იმერეთი
არობელიძე,იმერეთი
აროსია,იმერეთი
არუსია,იმერეთი
არსენაძე,იმერეთი
არსენიშვილი,იმერეთი
არსენიძე,იმერეთი
არსენოვი,იმერეთი
არღუნაშვილი,იმერეთი
არყნიძე,იმერეთი
არშილავა,იმერეთი
არჩვაძე,იმერეთი
არჩუაძე,იმერეთი
არწივიძე,იმერეთი
არჯავანიძე,იმერეთი
არჯევანიძე,იმერეთი
ასათიანი,იმერეთი
ასანიშვილი,იმერეთი
ასანიძე,იმერეთი
ასლანაძე,იმერეთი
ასტარიძე,იმერეთი
აფრიდონიძე,იმერეთი
აფხაზია,იმერეთი
აფხაიძე,იმერეთი
აქიმიშვილი,იმერეთი
აშოთია,იმერეთი
აშოთიაშვილი,იმერეთი
აშორთია,იმერეთი
ახალაძე,იმერეთი
ახვლედიანი,იმერეთი
ახობაძე,იმერეთი
ახრახაძე,იმერეთი
ბააკაშვილი,იმერეთი
ბაბლიძე,იმერეთი
ბაბუაძე,იმერეთი
ბაბუნაშვილი,იმერეთი
ბაბუხადია,იმერეთი
ბაგრატიონი,იმერეთი
ბადირეიშვილი,იმერეთი
ბადისეიშვილი,იმერეთი
ბაზაძე,იმერეთი
ბაზიარი,იმერეთი
ბაზიარიშვილი,იმერეთი
ბაზმანი,იმერეთი
ბაზღაძე,იმერეთი
ბათუიშვილი,იმერეთი
ბათურიშვილი,იმერეთი
ბაკურაძე,იმერეთი
ბალავაძე,იმერეთი
ბალანჩივაძე,იმერეთი
ბალახაძე,იმერეთი
ბანცაძე,იმერეთი
ბანძალაძე,იმერეთი
ბანძელაძე,იმერეთი
ბარაბაძე,იმერეთი
ბარათაშვილი,იმერეთი
ბარათელი,იმერეთი
ბარათოვი,იმერეთი
ბარამიშვილი,იმერეთი
ბარამიძე,იმერეთი
ბარბაქაძე,იმერეთი
ბარდაველიძე,იმერეთი
ბარელაძე,იმერეთი
ბარელიძე,იმერეთი
ბარკავა,იმერეთი
ბარუთელია,იმერეთი
ბარქაია,იმერეთი
ბარქაძე,იმერეთი
ბარძაღუა,იმერეთი
ბარჯაძე,იმერეთი
ბასილაშვილი,იმერეთი
ბასილაძე,იმერეთი
ბასილიკაშვილი,იმერეთი
ბასილიშვილი,იმერეთი
ბაქრაძე,იმერეთი
ბაღათურია,იმერეთი
ბაღდავაძე,იმერეთი
ბაშელეიშვილი,იმერეთი
ბაჩუკაშვილი,იმერეთი
ბაძაღუა,იმერეთი
ბაძგარაძე,იმერეთი
ბაწარაძე,იმერეთი
ბახტაძე,იმერეთი
ბახტურიძე,იმერეთი
ბახუტაშვილი,იმერეთი
ბაჯაძე,იმერეთი
ბებიაშვილი,იმერეთი
ბებურიშვილი,იმერეთი
ბებუროვი,იმერეთი
ბეგაძე,იმერეთი
ბეგთურაშვილი,იმერეთი
ბეგიშვილი,იმერეთი
ბედენაშვილი,იმერეთი
ბედიაშვილი,იმერეთი
ბედიანიძე,იმერეთი
ბედნიერიძე,იმერეთი
ბეკოშვილი,იმერეთი
