Surname,Region
აბაიძე,კახეთი
აბალოიძე,კახეთი
აბგაიძე,კახეთი
აბდულაშვილი,კახეთი
აბელაშვილი,კახეთი
აბელიშვილი,კახეთი
აბეჩხრიშვილი,კახეთი
აბეწაშვილი,კახეთი
აბეწვაშვილი,კახეთი
აბულაშვილი,კახეთი
აბულაძე,კახეთი
აბულიძე,კახეთი
აგიაშვილი,კახეთი
აგულაშვილი,კახეთი
აგურაშვილი,კახეთი
ადომლიშვილი,კახეთი
ავაზაშვილი,კახეთი
ავალიშვილი,კახეთი
ავბეწაშვილი,კახეთი
ავგაროზიშვილი,კახეთი
აზარიაშვილი,კახეთი
აზნაურაშვილი,კახეთი
აზნიაშვილი,კახეთი
ათაბეგაშვილი,კახეთი
ათანაშვილი,კახეთი
ალიაშვილი,კახეთი
ათანელაშვილი,კახეთი
ათაქიშვილი,კახეთი
ათოშვილი,კახეთი
ათუაშვილი,კახეთი
აიდარაშვილი,კახეთი
აივაზაშვილი,კახეთი
აივაზიშვილი,კახეთი
აკიმორჩიშვილი,კახეთი
აკოლაშვილი,კახეთი
ალადაშვილი,კახეთი
ალადოშვილი,კახეთი
ალალაშვილი,კახეთი
ალბორიშვილი,კახეთი
ალბუთაშვილი,კახეთი
ალექსაშვილი,კახეთი
ალექსანაშვილი,კახეთი
ალექსიშვილი,კახეთი
ალექსიძე,კახეთი
ალიბეგაშვილი,კახეთი
ალუდაური,კახეთი
ალუღიშვილი,კახეთი
ალხაზიშვილი,კახეთი
ალხანაიძე,კახეთი
ალხანაშვილი,კახეთი
ამბროსიშვილი,კახეთი
ამბროსიძე,კახეთი
ამზაშვილი,კახეთი
ამირანიძე,კახეთი
ამირაშვილი,კახეთი
ამირაძე,კახეთი
ამირიძე,კახეთი
ამირაჯიბი,კახეთი
ამირეჯიბი,კახეთი
ამისულაშვილი,კახეთი
ამოზაშვილი,კახეთი
ამონაშვილი,კახეთი
ამონიშვილი,კახეთი
ამუზაშვილი,კახეთი
ამურველაშვილი,კახეთი
ანდალაშვილი,კახეთი
ანდრონიკაშვილი,კახეთი
ანდრიაშვილი,კახეთი
ანთაიძე,კახეთი
ანტონაშვილი,კახეთი
ანტონიშვილი,კახეთი
ანუაშვილი,კახეთი
აპრილაშვილი,კახეთი
არაბაშვილი,კახეთი
არავაძე,კახეთი
არინდაული,კახეთი
არმაზაშვილი,კახეთი
აროშვილი,კახეთი
არსენაშვილი,კახეთი
არსენიშვილი,კახეთი
არუდაშვილი,კახეთი
არშაულიძე,კახეთი
არჩევნიშვილი,კახეთი
არჩემაშვილი,კახეთი
არჩუაშვილი,კახეთი
არჩუაძე,კახეთი
არჯევანიშვილი,კახეთი
არჯევნიშვილი,კახეთი
არჯევანიძე,კახეთი
ასაბაშვილი,კახეთი
ასათაშვილი,კახეთი
ასანაშვილი,კახეთი
ასისტიშვილი,კახეთი
ასიტაშვილი,კახეთი
ასკილაშვილი,კახეთი
ასლიშვილი,კახეთი
ასპანაშვილი,კახეთი
ასპოშვილი,კახეთი
აფთარაული,კახეთი
აფთარაშვილი,კახეთი
აფრიაშვილი,კახეთი
აფშინაშვილი,კახეთი
აქიაშვილი,კახეთი
აქიმიძე,კახეთი
აღამონაშვილი,კახეთი
აღაშვილი,კახეთი
აღვინაშვილი,კახეთი
აღნიაშვილი,კახეთი
აშაძე,კახეთი
აშკარელაშვილი,კახეთი
აშკარელი,კახეთი
აშკარელიშვილი,კახეთი
აჩუაშვილი,კახეთი
აჩქიტიძე,კახეთი
აწყვერელი,კახეთი
აჭაიძე,კახეთი
აჭიშვილი,კახეთი
ახალაური,კახეთი
ახალბედაშვილი,კახეთი
ახალკაციშვილი,კახეთი
ახალმოსულიშვილი,კახეთი
ახვერდაშვილი,კახეთი
ახმეტელაშვილი,კახეთი
ახმეტელი,კახეთი
ახმოდიშვილი,კახეთი
აჯაფაშვილი,კახეთი
აჯიაშვილი,კახეთი
ბიაშვილი,კახეთი
ბააცაშვილი,კახეთი
ბილონაშვილი,კახეთი
ბაბაკიშვილი,კახეთი
ბაბალაშვილი,კახეთი
ბაბაშვილი,კახეთი
ბაბილაშვილი,კახეთი
ბაბისაშვილი,კახეთი
ბაბლიაშვილი,კახეთი
ბაბლომაშვილი,კახეთი
ბაბოიძე,კახეთი
ბაბოშვილი,კახეთი
ბაბუაშვილი,კახეთი
ბაბულაიძე,კახეთი
ბაბუნიძე,კახეთი
ბაბუხაძე,კახეთი
ბაგალაშვილი,კახეთი
ბაგალიშვილი,კახეთი
ბაგაური,კახეთი
ბაგრატაშვილი,კახეთი
ბაგრატიშვილი,კახეთი
ბადრახიშვილი,კახეთი
ბადრიაშვილი,კახეთი
ბადრიძე,კახეთი
ბადურაშვილი,კახეთი
ბაზანაშვილი,კახეთი
ბაზერაშვილი,კახეთი
ბაზიერაშვილი,კახეთი
ბაზიკოშვილი,კახეთი
ბაზოშვილი,კახეთი
ბათიაშვილი,კახეთი
ბათირაშვილი,კახეთი
ბათუაშვილი,კახეთი
ბათურიშვილი,კახეთი
ბაიაშვილი,კახეთი
ბაიდოშვილი,კახეთი
ბაინდურაშვილი,კახეთი
ბაირამაშვილი,კახეთი
ბაიხანაშვილი,კახეთი
ბაიხოიძე,კახეთი
ბაკაშვილი,კახეთი
ბალარჯიშვილი,კახეთი
ბალესიაშვილი,კახეთი
ბალიაური,კახეთი
ბალუაშვილი,კახეთი
ბალუხაშვილი,კახეთი
ბალღიაშვილი,კახეთი
ბანანაშვილი,კახეთი
ბარამაშვილი,კახეთი
ბარბაქაძე,კახეთი
ბარდანაშვილი,კახეთი
ბართიშვილი,კახეთი
ბარიხაშვილი,კახეთი
ბარნაბაშვილი,კახეთი
ბარნაბიშვილი,კახეთი
ბარნაძე,კახეთი
ბარძიმაშვილი,კახეთი
ბასილაური,კახეთი
ბასილაშვილი,კახეთი
ბასლიკაშვილი,კახეთი
ბასოშვილი,კახეთი
ბასხაჯაური,კახეთი
ბატაშვილი,კახეთი
ბატიაშვილი,კახეთი
ბაფხოშვილი,კახეთი
ბაქარაშვილი,კახეთი
ბაღათრიშვილი,კახეთი
ბაღათური,კახეთი
ბაღათურიშვილი,კახეთი
ბაღაკაშვილი,კახეთი
ბაღანაშვილი,კახეთი
ბაღაღოშვილი,კახეთი
ბაღაშვილი,კახეთი
ბაღდადაშვილი,კახეთი
ბაღდადიშვილი,კახეთი
ბაღიაშვილი,კახეთი
ბაღნაშვილი,კახეთი
ბაღოშვილი,კახეთი
ბაღუაშვილი,კახეთი
ბაყლიშვილი,კახეთი
ბაშინურიძე,კახეთი
ბაჩაკაშვილი,კახეთი
ბაჩალიაშვილი,კახეთი
ბაჩანაშვილი,კახეთი
ბაჩანაძე,კახეთი
ბაჩიაშვილი,კახეთი
ბაჩიძე,კახეთი
ბაჩოშვილი,კახეთი
ბაჩუკაშვილი,კახეთი
ბაჩულაშვილი,კახეთი
ბაცანაძე,კახეთი
ბაცაშვილი,კახეთი
ბაცაცაშვილი,კახეთი
ბაცელაშვილი,კახეთი
ბაციაშვილი,კახეთი
ბაძოშვილი,კახეთი
ბაწაშვილი,კახეთი
