Surname,Region
ანანიაშვილი,ქართლი
აბიათარი,ქართლი
აბაზაშვილი,ქართლი
აბაიაძე,ქართლი
აბალაკი,ქართლი
აბასაშვილი,ქართლი
აბაშვილი,ქართლი
აბაშიშვილი,ქართლი
აბელაშვილი,ქართლი
აბეწვაშვილი,ქართლი
აბიაშვილი,ქართლი
აბისონაშვილი,ქართლი
აბრამაშვილი,ქართლი
აბუაშვილი,ქართლი
აგაშენაშვილი,ქართლი
ადამაშვილი,ქართლი
ადვაძე,ქართლი
ადიკაშვილი,ქართლი
ადოლაშვილი,ქართლი
ადუაშვილი,ქართლი
ავაზნელი,ქართლი
ავანაშვილი,ქართლი
ავგაროზაშვილი,ქართლი
ავთანდილაშვილი,ქართლი
ავკოფაშვილი,ქართლი
ავლახაშვილი,ქართლი
ავლოხაშვილი,ქართლი
ავსაჯანაშვილი,ქართლი
ავსაჯანიშვილი,ქართლი
ავქოფაშვილი,ქართლი
აზალაძე,ქართლი
აზარიაშვილი,ქართლი
აზაურაშვილი,ქართლი
აზირაშვილი,ქართლი
აზმაიფარაშვილი,ქართლი
აკოლაშვილი,ქართლი
აზრუმელაშვილი,ქართლი
აკობაშვილი,ქართლი
აკოფაშვილი,ქართლი
აკულაშვილი,ქართლი
ალაგარდაშვილი,ქართლი
ალავერდაშვილი,ქართლი
ალბორაშვილი,ქართლი
ალბუთაშვილი,ქართლი
ალელიშვილი,ქართლი
ალექსიძე,ქართლი
ალთუნაშვილი,ქართლი
ალიბეგაშვილი,ქართლი
ალიმბარაშვილი,ქართლი
ალიმბერაშვილი,ქართლი
ალიხანაშვილი,ქართლი
ალუაშვილი,ქართლი
ალუდაური,ქართლი
ალხაზიშვილი,ქართლი
ამაზაშვილი,ქართლი
ამანათაშვილი,ქართლი
ამანათიძე,ქართლი
ამბიძე,ქართლი
ამბრიაშვილი,ქართლი
ამბროსაშვილი,ქართლი
ამბროსიშვილი,ქართლი
ამინაშვილი,ქართლი
ამირაშვილი,ქართლი
ამირაჯიბი,ქართლი
ამირეზაშვილი,ქართლი
ამირეჯიბი,ქართლი
ამირიძე,ქართლი
ამირხანაშვილი,ქართლი
ამნიაშვილი,ქართლი
ამრაზიშვილი,ქართლი
ამურველაშვილი,ქართლი
ანანიაშვილი,ქართლი
ანდიაშვილი,ქართლი
ანდრაზაშვილი,ქართლი
ანდრიაშვილი,ქართლი
ანესაშვილი,ქართლი
ანიაშვილი,ქართლი
ანიკაშვილი,ქართლი
ანტონაშვილი,ქართლი
ანტონიშვილი,ქართლი
ანტონიძე,ქართლი
ანუაშვილი,ქართლი
ანძაველიძე,ქართლი
არაბაშვილი,ქართლი
არაბული,ქართლი
არაგვიშვილი,ქართლი
არათანაშვილი,ქართლი
არაყიშვილი,ქართლი
არაჩაშვილი,ქართლი
არბოლაშვილი,ქართლი
არბოლიშვილი,ქართლი
არგანაშვილი,ქართლი
არდაზიშვილი,ქართლი
არდემანაშვილი,ქართლი
არდოტელი,ქართლი
არევაძე,ქართლი
არმეგონაშვილი,ქართლი
არსანიძე,ქართლი
არსენაძე,ქართლი
არსიაშვილი,ქართლი
არსოშვილი,ქართლი
არტემაშვილი,ქართლი
არუნაშვილი,ქართლი
არღუთაშვილი,ქართლი
არღუნაშვილი,ქართლი
არჩემაშვილი,ქართლი
არჩუაშვილი,ქართლი
არჩუაძე,ქართლი
არხოზაშვილი,ქართლი
არხოშაშვილი,ქართლი
არჯაკელი,ქართლი
არჯევანიძე,ქართლი
ასაკაშვილი,ქართლი
ასაშვილი,ქართლი
ასეიშვილი,ქართლი
ასთავიშვილი,ქართლი
ასისტიშვილი,ქართლი
ასკილაშვილი,ქართლი
ასლამაზიშვილი,ქართლი
ასლამაძე,ქართლი
ასლანიშვილი,ქართლი
ასპანიძე,ქართლი
ასპინძელაშვილი,ქართლი
ასრათაშვილი,ქართლი
ასრაკაძე,ქართლი
ასტამაძე,ქართლი
ატაშვილი,ქართლი
აფრიამაშვილი,ქართლი
აფციაური,ქართლი
აფხაზაშვილი,ქართლი
აქიაშვილი,ქართლი
აქულაშვილი,ქართლი
აღაპიშვილი,ქართლი
აღაჯანაშვილი,ქართლი
აღდგომელაშვილი,ქართლი
აღლაძე,ქართლი
აღნიაშვილი,ქართლი
აშკარელი,ქართლი
აჩელაშვილი,ქართლი
აწკარუნაშვილი,ქართლი
ახალაშვილი,ქართლი
ახალბედაშვილი,ქართლი
ახალკაცი,ქართლი
ახალშენაშვილი,ქართლი
ახალშენიშვილი,ქართლი
ახლოური,ქართლი
ახოტელაშვილი,ქართლი
ახსაბაძე,ქართლი
ახსიაშვილი,ქართლი
ახუაშვილი,ქართლი
გიორბელიძე,ქართლი
ბარნოვი,ქართლი
ბაზანდარაშვილი,ქართლი
ბაბაკიშვილი,ქართლი
ბაბულაშვილი,ქართლი
ბაბაშვილი,ქართლი
ბაბაჯანაშვილი,ქართლი
ბაბიაშვილი,ქართლი
ბაბლიშვილი,ქართლი
ბაბლიძე,ქართლი
ბაბოიძე,ქართლი
ბაბუაშვილი,ქართლი
ბაბულაშვილი,ქართლი
ბაბუნაძე,ქართლი
ბაბუნიშვილი,ქართლი
ბაბუციძე,ქართლი
ბაგაური,ქართლი
ბაგიაშვილი,ქართლი
ბაგრატაშვილი,ქართლი
ბადაგაძე,ქართლი
ბადალაშვილი,ქართლი
ბადაშვილი,ქართლი
ბადიაშვილი,ქართლი
ბადრიაშვილი,ქართლი
ბადრიძე,ქართლი
ბაზალელი,ქართლი
ბაზალი,ქართლი
ბაზარაშვილი,ქართლი
ბაზიარი,ქართლი
ბაზლიძე,ქართლი
ბაზუაშვილი,ქართლი
ბათიაშვილი,ქართლი
ბათილაშვილი,ქართლი
ბათლიძე,ქართლი
ბათმანაშვილი,ქართლი
ბათმანიშვილი,ქართლი
ბაიაძე,ქართლი
ბაიდარაშვილი,ქართლი
ბაიდაური,ქართლი
ბაიდაშვილი,ქართლი
ბაინდურაშვილი,ქართლი
ბაისონაშვილი,ქართლი
ბაკიძე,ქართლი
ბალადაშვილი,ქართლი
ბალალაშვილი,ქართლი
ბალამწარაშვილი,ქართლი
ბალამწარიშვილი,ქართლი
ბალასანიძე,ქართლი
ბალაშვილი,ქართლი
ბალახაშვილი,ქართლი
ბალახაძე,ქართლი
ბალიაშვილი,ქართლი
ბალიშვილი,ქართლი
ბალხამიშვილი,ქართლი
ბანეთიშვილი,ქართლი
ბანკანაშვილი,ქართლი
ბანცაძე,ქართლი
ბანცური,ქართლი
ბარამაშვილი,ქართლი
ბარაშვილი,ქართლი
ბარაჩაშვილი,ქართლი
ბარბაქაძე,ქართლი
ბარდაძე,ქართლი
ბარვენაშვილი,ქართლი
ბარიაშვილი,ქართლი
ბარისაშვილი,ქართლი
ბარიშვილი,ქართლი
ბარნაბიშვილი,ქართლი
ბარტყულაშვილი,ქართლი
ბარქაძე,ქართლი
ბასიაშვილი,ქართლი
ბასილაშვილი,ქართლი
ბასილიაშვილი,ქართლი
ბასილიძე,ქართლი
ბასიშვილი,ქართლი
ბატატაშვილი,ქართლი
ბატკუაშვილი,ქართლი
ბატონისაშვილი,ქართლი
ბაფხოშვილი,ქართლი
ბაქაური,ქართლი
ბაქაქური,ქართლი
ბაქელაშვილი,ქართლი
ბაღათური,ქართლი
ბაღდავანიძე,ქართლი
ბაღდუაშვილი,ქართლი
ბაღიაშვილი,ქართლი
ბაშარაული,ქართლი
ბაშარაძე,ქართლი
ბაშარელი,ქართლი
ბაშარული,ქართლი
ბაშაური,ქართლი
ბაშინჯაღელი,ქართლი
ბაშინჯაყელი,ქართლი
ბაჩალიაშვილი,ქართლი
ბაცანკალაშვილი,ქართლი
ბაციკაძე,ქართლი
ბაჭაძე,ქართლი
ბახტაძე,ქართლი
ბახუაშვილი,ქართლი
ბახურაული,ქართლი
ბაჯიაშვილი,ქართლი
ბებელაშვილი,ქართლი
ბებისაშვილი,ქართლი
ბებნაძე,ქართლი
ბებურიძე,ქართლი
ბეგალაშვილი,ქართლი
ბეგალიშვილი,ქართლი
ბეგდარაშვილი,ქართლი
ბეგიანიშვილი,ქართლი
ბეგიაშვილი,ქართლი
ბეგლარაშვილი,ქართლი
ბეგლარიშვილი,ქართლი
ბეგოიძე,ქართლი
ბედიანაშვილი,ქართლი
ბედინაშვილი,ქართლი
ბედოიძე,ქართლი
ბედოშვილი,ქართლი
ბედუაშვილი,ქართლი
ბედუკაძე,ქართლი
ბედუკიძე,ქართლი
ბეთანელი,ქართლი
ბეთეშვილი,ქართლი
ბეთლემიშვილი,ქართლი
ბეთლემიძე,ქართლი
ბეინაშვილი,ქართლი
ბეკარიშვილი,ქართლი
ბეკოშვილი,ქართლი
ბეკურაშვილი,ქართლი
ბეკურიშვილი,ქართლი
ბელიძე,ქართლი
ბენიაიძე,ქართლი
ბენიაშვილი,ქართლი
ბენიაძე,ქართლი
ბეჟანიშვილი,ქართლი
ბეჟიტაშვილი,ქართლი
ბეჟოშვილი,ქართლი
ბეჟღულაშვილი,ქართლი
ბერანიძე,ქართლი
ბერაშვილი,ქართლი
ბერბერაშვილი,ქართლი
ბერბიჭაშვილი,ქართლი
ბერელაშვილი,ქართლი
ბერიანიძე,ქართლი
ბერიაშვილი,ქართლი
ბერიკაშვილი,ქართლი
ბერიკიშვილი,ქართლი
ბერინაშვილი,ქართლი
ბერიტაშვილი,ქართლი
ბერკაცაშვილი,ქართლი
ბეროზაშვილი,ქართლი
ბერუაშვილი,ქართლი
ბერძენიშვილი,ქართლი
ბერძნიშვილი,ქართლი
ბესალაშვილი,ქართლი
ბესთავაშვილი,ქართლი
ბესიაშვილი,ქართლი
ბესტავაშვილი,ქართლი
ბესტაშვილი,ქართლი
ბექაური,ქართლი
ბექაძე,ქართლი
ბექიშვილი,ქართლი
ბექოშვილი,ქართლი
ბექურაული,ქართლი
ბექური,ქართლი
ბეღელური,ქართლი
ბეშკენაშვილი,ქართლი
ბეწუაშვილი,ქართლი
ბზარაშვილი,ქართლი
ბზიშვილი,ქართლი
ბიათაშვილი,ქართლი
ბიბილაშვილი,ქართლი
ბიბილაური,ქართლი
ბიბილური,ქართლი
ბიბილურიძე,ქართლი
ბიგანაშვილი,ქართლი
ბიგანიშვილი,ქართლი
ბიზიკაშვილი,ქართლი
ბითარაშვილი,ქართლი
ბითარიშვილი,ქართლი
ბითაძე,ქართლი
ბინიაშვილი,ქართლი
ბირთველაშვილი,ქართლი
ბირთველიშვილი,ქართლი
ბირკაძე,ქართლი
ბირჩაძე,ქართლი
ბიტარაშვილი,ქართლი
ბიტარიშვილი,ქართლი
ბიქოშვილი,ქართლი
ბიჩინაშვილი,ქართლი
ბიძინაშვილი,ქართლი
ბიძიონაშვილი,ქართლი
ბიწოშვილი,ქართლი
ბიჭიაშვილი,ქართლი
ბიჭიკაშვილი,ქართლი
ბიჭოშვილი,ქართლი
ბიხანაშვილი,ქართლი
ბლიაძე,ქართლი
ბლუაშვილი,ქართლი
ბოგველი,ქართლი
ბოგველიშვილი,ქართლი
ბოლაშვილი,ქართლი
ბოლოთაური,ქართლი
ბოლოთაშვილი,ქართლი
ბოლოკაძე,ქართლი
ბორაშვილი,ქართლი
ბორტიშვილი,ქართლი
ბორცვაძე,ქართლი
ბორძიკული,ქართლი
ბოსიკაშვილი,ქართლი
ბოღიშვილი,ქართლი
ბოღოლაშვილი,ქართლი
ბოშიშვილი,ქართლი
ბოძაშვილი,ქართლი
ბოძიაშვილი,ქართლი
ბოჭოიძე,ქართლი
ბოჭორაძე,ქართლი
ბოჭორმელი,ქართლი
ბრაჭული,ქართლი
ბრელიძე,ქართლი
ბროლაძე,ქართლი
ბროძელი,ქართლი
ბუბუნაური,ქართლი
ბუბუნაშვილი,ქართლი
ბუგიანაშვილი,ქართლი
ბუგიანიშვილი,ქართლი
ბუგუნაშვილი,ქართლი
ბუდაღაშვილი,ქართლი
ბუდედაშვილი,ქართლი
ბუზარიაშვილი,ქართლი
ბუზიაშვილი,ქართლი
ბუთურიშვილი,ქართლი
ბუთხაშვილი,ქართლი
ბუთხუზი,ქართლი
ბუიშვილი,ქართლი
ბულავრიშვილი,ქართლი
ბულალაური,ქართლი
ბულაური,ქართლი
ბულაშვილი,ქართლი
ბულაცაშვილი,ქართლი
ბულბულაშვილი,ქართლი
ბუმბიაშვილი,ქართლი
ბუნტური,ქართლი
ბუჟგულაშვილი,ქართლი
ბუჟღულაშვილი,ქართლი
ბურაშვილი,ქართლი
ბურდული,ქართლი
ბურნაძე,ქართლი
ბურძენაძე,ქართლი
ბურჯანიძე,ქართლი
ბუტიკაშვილი,ქართლი
ბუქულაშვილი,ქართლი
ბუქური,ქართლი
ბუღალაშვილი,ქართლი
ბუღულაშვილი,ქართლი
ბუჩაშვილი,ქართლი
ბუჩუკური,ქართლი
ბუჩუნტელი,ქართლი
ბუჩხრიკიძე,ქართლი
ბუძიაშვილი,ქართლი
ბუძიშვილი,ქართლი
ბუხრაძე,ქართლი
ბუხუნიშვილი,ქართლი
ბუჯიაშვილი,ქართლი
ბღარაშვილი,ქართლი
გაბათაშვილი,ქართლი
გაბარაშვილი,ქართლი
გაბაშვილი,ქართლი
გაბაძე,ქართლი
გაბახაძე,ქართლი
გაბეცაძე,ქართლი
გაბიდაური,ქართლი
გაბინაშვილი,ქართლი
გაბიძე,ქართლი
გაბლიშვილი,ქართლი
გაბოძე,ქართლი
გაბრიელაშვილი,ქართლი
გაბრიელიძე,ქართლი
გაბროშვილი,ქართლი
გაგანიძე,ქართლი
გაგაძე,ქართლი
გაგელაშვილი,ქართლი
გაგელიძე,ქართლი
გაგვიშვილი,ქართლი
გაგიშვილი,ქართლი
გაგლოშვილი,ქართლი
გაგნიძე,ქართლი
გაგოშვილი,ქართლი
