Surname,Region
აბესალაშვილი,რაჭა-ლეჩხუმი
აბზარაძე,რაჭა-ლეჩხუმი
აბუთიძე,რაჭა-ლეჩხუმი
აბულაძე,რაჭა-ლეჩხუმი
აგლაძე,რაჭა-ლეჩხუმი
ავალიანი,რაჭა-ლეჩხუმი
ალავიძე,რაჭა-ლეჩხუმი
ალალიძე,რაჭა-ლეჩხუმი
ალიხანაშვილი,რაჭა-ლეჩხუმი
ამბროლაძე,რაჭა-ლეჩხუმი
ამბროლიანი,რაჭა-ლეჩხუმი
არსანიძე,რაჭა-ლეჩხუმი
არჩვაძე,რაჭა-ლეჩხუმი
არჯევანიძე,რაჭა-ლეჩხუმი
ახვლედიანი,რაჭა-ლეჩხუმი
ბაზიარიშვილი,რაჭა-ლეჩხუმი
ბათხაძე,რაჭა-ლეჩხუმი
ბაკურაძე,რაჭა-ლეჩხუმი
ბასილაშვილი,რაჭა-ლეჩხუმი
ბაქრაძე,რაჭა-ლეჩხუმი
ბაღაშვილი,რაჭა-ლეჩხუმი
ბაციკაძე,რაჭა-ლეჩხუმი
ბეგაშვილი,რაჭა-ლეჩხუმი
ბედელაძე,რაჭა-ლეჩხუმი
ბედენაშვილი,რაჭა-ლეჩხუმი
ბელაშვილი,რაჭა-ლეჩხუმი
ბენდელიანი,რაჭა-ლეჩხუმი
ბენდიანიშვილი,რაჭა-ლეჩხუმი
ბენდუქიძე,რაჭა-ლეჩხუმი
ბერაძე,რაჭა-ლეჩხუმი
ბერელიძე,რაჭა-ლეჩხუმი
ბერიშვილი,რაჭა-ლეჩხუმი
ბექელაძე,რაჭა-ლეჩხუმი
ბეშიძე,რაჭა-ლეჩხუმი
ბიბილაშვილი,რაჭა-ლეჩხუმი
ბილაშვილი,რაჭა-ლეჩხუმი
ბიჭაშვილი,რაჭა-ლეჩხუმი
ბოსელაძე,რაჭა-ლეჩხუმი
ბოჭორიშვილი,რაჭა-ლეჩხუმი
ბოხაშვილი,რაჭა-ლეჩხუმი
ბჟღავანაძე,რაჭა-ლეჩხუმი
ბრეგვაძე,რაჭა-ლეჩხუმი
ბროლაშვილი,რაჭა-ლეჩხუმი
ბუაძე,რაჭა-ლეჩხუმი
ბუბაშვილი,რაჭა-ლეჩხუმი
ბუგიანიშვილი,რაჭა-ლეჩხუმი
ბულაშვილი,რაჭა-ლეჩხუმი
ბურდილაძე,რაჭა-ლეჩხუმი
ბურზალაძე,რაჭა-ლეჩხუმი
ბუღაშვილი,რაჭა-ლეჩხუმი
ბუხრაშვილი,რაჭა-ლეჩხუმი
გურასაშვილი,რაჭა-ლეჩხუმი
გაბაშვილი,რაჭა-ლეჩხუმი
გაბისიანი,რაჭა-ლეჩხუმი
გორდიაშვილი,რაჭა-ლეჩხუმი
გოქაძე,რაჭა-ლეჩხუმი
გოქსაძე,რაჭა-ლეჩხუმი
გოქშელიძე,რაჭა-ლეჩხუმი
გოშაძე,რაჭა-ლეჩხუმი
გოცირიძე,რაჭა-ლეჩხუმი
გრიგოლაშვილი,რაჭა-ლეჩხუმი
გრძელიშვილი,რაჭა-ლეჩხუმი
გუგეშაშვილი,რაჭა-ლეჩხუმი
გუგუშვილი,რაჭა-ლეჩხუმი
გუიშვილი,რაჭა-ლეჩხუმი
გურაბანიძე,რაჭა-ლეჩხუმი
გურგენიძე,რაჭა-ლეჩხუმი
