Surname,Region
აბაშია,სამეგრელო
აბაშიძე,სამეგრელო
აბესაძე,სამეგრელო
აბლოთია,სამეგრელო
აბრავა,სამეგრელო
აბრალავა,სამეგრელო
აბრამია,სამეგრელო
აბრამიშვილი,სამეგრელო
აბრახამია,სამეგრელო
აბრუმია,სამეგრელო
აბსავა,სამეგრელო
აბსნაძე,სამეგრელო
აბსარიძე,სამეგრელო
აბულაძე,სამეგრელო
აბურჯანია,სამეგრელო
აბუხბაია,სამეგრელო
აბშილავა,სამეგრელო
აბხაზავა,სამეგრელო
აგირბაია,სამეგრელო
აგუმავა,სამეგრელო
ადამია,სამეგრელო
ადანაია,სამეგრელო
ადეიშვილი,სამეგრელო
ადონია,სამეგრელო
ავალიანი,სამეგრელო
ათათია,სამეგრელო
აკიჟბაია,სამეგრელო
აკიშბაია,სამეგრელო
აკობია,სამეგრელო
ალანია,სამეგრელო
ალანიძე,სამეგრელო
ალასანია,სამეგრელო
ალგარია,სამეგრელო
ალექსანდრია,სამეგრელო
ალიშბაია,სამეგრელო
ალმასია,სამეგრელო
ალსანდია,სამეგრელო
ალფენიძე,სამეგრელო
ალშიბაია,სამეგრელო
ამანაძე,სამეგრელო
ამბალია,სამეგრელო
ანაკიძე,სამეგრელო
ანდია,სამეგრელო
ანდღულაძე,სამეგრელო
ანთელავა,სამეგრელო
ანთია,სამეგრელო
ანჩაბაძე,სამეგრელო
ანჯაფარია,სამეგრელო
ანჯაფარიძე,სამეგრელო
არაჩემია,სამეგრელო
არახამია,სამეგრელო
არახანია,სამეგრელო
არაჰამია,სამეგრელო
არგუსია,სამეგრელო
არდაშელია,სამეგრელო
არდბელავა,სამეგრელო
არდია,სამეგრელო
არველაძე,სამეგრელო
არზიანი,სამეგრელო
არნანია,სამეგრელო
არონია,სამეგრელო
აროსია,სამეგრელო
არსანია,სამეგრელო
არულია,სამეგრელო
არუსია,სამეგრელო
არქანია,სამეგრელო
არშბა,სამეგრელო
არჩაია,სამეგრელო
არჩვავა,სამეგრელო
არჩვანძე,სამეგრელო
არჩვაძე,სამეგრელო
არჩილია,სამეგრელო
არჯანია,სამეგრელო
არჯევანიძე,სამეგრელო
ასაბაშვილი,სამეგრელო
ასათიანი,სამეგრელო
ასანიძე,სამეგრელო
ასვანუა,სამეგრელო
ასკილეისკირი,სამეგრელო
ასკურავა,სამეგრელო
ასლანდია,სამეგრელო
ასმავა,სამეგრელო
აფაქელავა,სამეგრელო
აფაქია,სამეგრელო
აფაქიძე,სამეგრელო
აფრასიძე,სამეგრელო
აფსავა,სამეგრელო
აფსანძე,სამეგრელო
აფშილავა,სამეგრელო
აფხაზავა,სამეგრელო
აქირთავა,სამეგრელო
აქუბარდია,სამეგრელო
აღაია,სამეგრელო
აშვეთია,სამეგრელო
აშორდია,სამეგრელო
აშორტია,სამეგრელო
აშუბა,სამეგრელო
აძიმბაია,სამეგრელო
აჭაია,სამეგრელო
ახალაია,სამეგრელო
ახალანძე,სამეგრელო
ახალია,სამეგრელო
ახვლედიანი,სამეგრელო
ახობაძე,სამეგრელო
ბაახია,სამეგრელო
ბაბილუა,სამეგრელო
ბაგათელია,სამეგრელო
ბაგრატია,სამეგრელო
ბაკარანძე,სამეგრელო
ბაკარაძე,სამეგრელო
ბაკურაძე,სამეგრელო
ბაკურია,სამეგრელო
ბალახაძე,სამეგრელო
ბანცაძე,სამეგრელო
ბანძავა,სამეგრელო
ბანძელაძე,სამეგრელო
ბარათელი,სამეგრელო
ბარათელია,სამეგრელო
ბარაბაძე,სამეგრელო
ბარამია,სამეგრელო
ბარბაქაძე,სამეგრელო
ბარგანჯია,სამეგრელო
ბარგატია,სამეგრელო
ბართავა,სამეგრელო
ბართაია,სამეგრელო
ბართია,სამეგრელო
ბარკაია,სამეგრელო
ბარკალაია,სამეგრელო
ბარკალია,სამეგრელო
ბარსავა,სამეგრელო
ბარქაია,სამეგრელო
ბარქვაია,სამეგრელო
ბარძემაშვილი,სამეგრელო
ბარძემიშვილი,სამეგრელო
ბარჯანია,სამეგრელო
ბასარია,სამეგრელო
ბასილაია,სამეგრელო
ბასილაძე,სამეგრელო
ბასკანჩალაძე,სამეგრელო
ბასლანძე,სამეგრელო
ბაქრაძე,სამეგრელო
ბაღათურია,სამეგრელო
ბაღბაია,სამეგრელო
ბაღიშვილი,სამეგრელო
ბაღუშვილი,სამეგრელო
ბაჩილავა,სამეგრელო
ბაძაღუა,სამეგრელო
ბახბავა,სამეგრელო
ბახბაია,სამეგრელო
ბახვავა,სამეგრელო
ბახია,სამეგრელო
ბახუტია,სამეგრელო
ბახტაძე,სამეგრელო
ბაჯალაძე,სამეგრელო
ბებელია,სამეგრელო
ბებერაია,სამეგრელო
ბებია,სამეგრელო
ბებიავა,სამეგრელო
ბებუა,სამეგრელო
ბებურია,სამეგრელო
ბედია,სამეგრელო
ბედუკიძე,სამეგრელო
ბეთია,სამეგრელო
ბეკვერია,სამეგრელო
ბელთაძე,სამეგრელო
ბელქანია,სამეგრელო
ბენდელავა,სამეგრელო
ბენდელიანი,სამეგრელო
ბენია,სამეგრელო
ბენიძე,სამეგრელო
ბერაია,სამეგრელო
ბერანძე,სამეგრელო
ბარაძე,სამეგრელო
ბერდეხელია,სამეგრელო
ბერზენია,სამეგრელო
ბერია,სამეგრელო
ბერისკუა,სამეგრელო
ბერიძე,სამეგრელო
ბერიშვილი,სამეგრელო
ბერნაძე,სამეგრელო
ბერულავა,სამეგრელო
ბერძენი,სამეგრელო
ბერძენია,სამეგრელო
ბესელია,სამეგრელო
