Surname,Region
აბდელანი,სვანეთი
ანსიანი,სვანეთი
არღვლიანი,სვანეთი
აფრასიძე,სვანეთი
აფრასიძე,სვანეთი
ბაბლუანი,სვანეთი
ბარლიანი,სვანეთი
ბედიანიშვილი,სვანეთი
ბუსქანაძე,სვანეთი
გაბიანი,სვანეთი
გაბლიანი,სვანეთი
გაბულდანი,სვანეთი
გადრანი,სვანეთი
გაზდელიანი,სვანეთი
გარდანი,სვანეთი
გასვიანი,სვანეთი
გერლიანი,სვანეთი
გვარამიანი,სვანეთი
გვარლიანი,სვანეთი
გველებიანი,სვანეთი
გვიდიანი,სვანეთი
გვიჩიანი,სვანეთი
გვიჭიანი,სვანეთი
გიგანი,სვანეთი
გიგლემიანი,სვანეთი
გირგვლიანი,სვანეთი
გოშთელიანი,სვანეთი
გოშუანი,სვანეთი
გუგავა,სვანეთი
გულბანი,სვანეთი
გულბიანი,სვანეთი
გულედანი,სვანეთი
გურგულიანი,სვანეთი
გურჩიანი,სვანეთი
გუჯეჯიანი,სვანეთი
დადეშქელიანი,სვანეთი
დადვანი,სვანეთი
დავითიანი,სვანეთი
დონღვანი,სვანეთი
ვეზდენი,სვანეთი
ვეზდენიძე,სვანეთი
ვერსკიანი,სვანეთი
ვიბლიანი,სვანეთი
ზუმაძე,სვანეთი
ზურაბიანი,სვანეთი
ზურებიანი,სვანეთი
ილდანი,სვანეთი
კახბერიძე,სვანეთი
კვანჭიანი,სვანეთი
კვასტიანი,სვანეთი
კვებლიანი,სვანეთი
კვიციანი,სვანეთი
კორძაია,სვანეთი
ლიპარტელიანი,სვანეთი
მარგიანი,სვანეთი
მარგველანი,სვანეთი
მარგველიანი,სვანეთი
მაღედანი,სვანეთი
მერლანი,სვანეთი
მეშველიანი,სვანეთი
მიბჩუანი,სვანეთი
მილდიანი,სვანეთი
მუკვანი,სვანეთი
მუკბანიანი,სვანეთი
მურღვლიანი,სვანეთი
მურღულიანი,სვანეთი
მუსელიანი,სვანეთი
მჭედლიანი,სვანეთი
ნავერიანი,სვანეთი
ნაკანი,სვანეთი
ნანსყანი,სვანეთი
ნარსავიძე,სვანეთი
ნიბჩვიანი,სვანეთი
ნიგურიანი,სვანეთი
ნიჩბიანი,სვანეთი
ნიჟარაძე,სვანეთი
ოთხვანი,სვანეთი
ონიანი,სვანეთი
პაკელიანი,სვანეთი
პირველი,სვანეთი
ჟორჟოლიანი,სვანეთი
რატიანი,სვანეთი
რეზესიძე,სვანეთი
საბანიძე,სვანეთი
სამსიანი,სვანეთი
საღლიანი,სვანეთი
სტეფლიანი,სვანეთი
სუბელიანი,სვანეთი
ტვილდიანი,სვანეთი
უდესიანი,სვანეთი
უმფრიანი,სვანეთი
უშხვანი,სვანეთი
ფალიანი,სვანეთი
ფანგანი,სვანეთი
ფარჯველიანი,სვანეთი
ფარჯიანი,სვანეთი
ფერცულიანი,სვანეთი
ფილფანი,სვანეთი
ფირცხელიანი,სვანეთი
ფირცხელანი,სვანეთი
ფოჩიანი,სვანეთი
ფურელიანი,სვანეთი
ქალდანი,სვანეთი
ქანცლიანი,სვანეთი
ქოჩქიანი,სვანეთი
ქურასბედიანი,სვანეთი
ქურდიანი,სვანეთი
ღვაჩლიანი,სვანეთი
შავრეშიანი,სვანეთი
შამფრიანი,სვანეთი
შუკვანი,სვანეთი
ჩამგელიანი,სვანეთი
ჩანქსელიანი,სვანეთი
ჩართოლანი,სვანეთი
ჩარქსელიანი,სვანეთი
ჩაქსელიანი,სვანეთი
ჩარკვიანი,სვანეთი
ჩოფლიანი,სვანეთი
ჩხვიმიანი,სვანეთი
ცალანი,სვანეთი
ცალიანი,სვანეთი
ცინდელიანი,სვანეთი
წერედიანი,სვანეთი
წიფიანი,სვანეთი
წულუკიანი,სვანეთი
ჭეხანი,სვანეთი
ჭკადუა,სვანეთი
ხაბულიანი,სვანეთი
ხარგიანი,სვანეთი
ხარზიანი,სვანეთი
ხაფთანი,სვანეთი
ხაჭვანი,სვანეთი
ხერგიანი,სვანეთი
ხვიბლიანი,სვანეთი
ხვინთელანი,სვანეთი
ხვინთელიანი,სვანეთი
ხვისტანი,სვანეთი
ხორგუანი,სვანეთი
ხოჯელანი,სვანეთი
ჯამბურიძე,სვანეთი
ჯამდელიანი,სვანეთი
ჯანხოთელი,სვანეთი
ჯაფარიძე,სვანეთი
ჯაჭვანი,სვანეთი
ჯაჭვლიანი,სვანეთი
ჯაჯვანი,სვანეთი
